epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,121274,1.40314,1.29144,1.09995,0.45869,0.39469,0.37553,0.21551,1.26032,1.73677,1.00336,0.006172,0.006172,0.006172
118,122348,1.39912,1.2842,1.09615,0.46154,0.39283,0.37654,0.21577,1.26059,1.71897,1.00331,0.006139,0.006139,0.006139
119,123400,1.40012,1.28706,1.09721,0.46026,0.39297,0.37723,0.21586,1.26099,1.69583,1.00353,0.006106,0.006106,0.006106
120,124516,1.3996,1.28288,1.09755,0.46281,0.39191,0.37803,0.21651,1.26138,1.68714,1.00357,0.006073,0.006073,0.006073
121,125571,1.39263,1.27932,1.09454,0.46191,0.39185,0.3777,0.21636,1.26154,1.68511,1.00349,0.00604,0.00604,0.00604
122,126687,1.39601,1.28264,1.09652,0.46256,0.39188,0.37728,0.21616,1.26176,1.67207,1.00366,0.006007,0.006007,0.006007
123,127741,1.38661,1.27032,1.09328,0.46522,0.39021,0.37687,0.21615,1.26182,1.66987,1.00372,0.005974,0.005974,0.005974
124,128868,1.394,1.27476,1.09509,0.4689,0.38662,0.37702,0.21629,1.26254,1.66961,1.00423,0.005941,0.005941,0.005941
125,129971,1.38889,1.27233,1.09434,0.45568,0.393,0.37702,0.21645,1.2626,1.66941,1.00438,0.005908,0.005908,0.005908
126,131062,1.38913,1.27043,1.09284,0.45722,0.39214,0.37671,0.21638,1.26188,1.66041,1.00411,0.005875,0.005875,0.005875
127,132170,1.38768,1.26549,1.09318,0.45882,0.39164,0.37673,0.21655,1.26168,1.66286,1.00397,0.005842,0.005842,0.005842
128,133274,1.38923,1.26429,1.09359,0.45747,0.39242,0.37667,0.2166,1.26218,1.66375,1.004,0.005809,0.005809,0.005809
129,134352,1.3926,1.26235,1.09468,0.45917,0.39283,0.37728,0.21661,1.26193,1.66219,1.00386,0.005776,0.005776,0.005776
130,135414,1.38526,1.25912,1.09253,0.45916,0.39461,0.37748,0.21687,1.26201,1.66685,1.00395,0.005743,0.005743,0.005743
131,136471,1.38713,1.25368,1.09213,0.46011,0.3938,0.37751,0.21677,1.26172,1.65667,1.00378,0.00571,0.00571,0.00571
132,137540,1.38602,1.25804,1.09219,0.458,0.39458,0.37692,0.21656,1.26226,1.65259,1.00399,0.005677,0.005677,0.005677
133,138580,1.38058,1.25256,1.09029,0.46125,0.39251,0.37681,0.21662,1.26277,1.65179,1.00399,0.005644,0.005644,0.005644
134,139680,1.38388,1.24807,1.09052,0.45572,0.3956,0.37702,0.21688,1.26314,1.64828,1.00406,0.005611,0.005611,0.005611
135,140750,1.38346,1.24503,1.08972,0.45531,0.39681,0.37713,0.21657,1.26326,1.64102,1.00405,0.005578,0.005578,0.005578
136,141810,1.3824,1.24528,1.09064,0.46693,0.39056,0.37706,0.2168,1.26379,1.63727,1.00451,0.005545,0.005545,0.005545
137,142851,1.3817,1.23936,1.08975,0.4705,0.39151,0.37739,0.21695,1.2634,1.63589,1.00424,0.005512,0.005512,0.005512
138,143928,1.38062,1.24467,1.08836,0.46983,0.38977,0.37742,0.21715,1.26374,1.63294,1.00419,0.005479,0.005479,0.005479
139,144944,1.3787,1.2343,1.0858,0.47126,0.3897,0.37773,0.21747,1.26369,1.62246,1.00437,0.005446,0.005446,0.005446
140,145993,1.37297,1.23755,1.08554,0.46886,0.3912,0.37714,0.21731,1.26367,1.61265,1.00427,0.005413,0.005413,0.005413
141,147042,1.37961,1.23275,1.08806,0.47126,0.38847,0.37737,0.21763,1.26357,1.59865,1.00409,0.00538,0.00538,0.00538
142,148059,1.3776,1.23302,1.08676,0.47263,0.38864,0.37719,0.21795,1.26389,1.5959,1.00422,0.005347,0.005347,0.005347
143,149147,1.37562,1.22917,1.08779,0.4699,0.38947,0.3775,0.21803,1.26395,1.59732,1.00442,0.005314,0.005314,0.005314
144,150199,1.37546,1.23068,1.08595,0.47256,0.38846,0.37799,0.21837,1.26402,1.5931,1.00429,0.005281,0.005281,0.005281
145,151227,1.37142,1.2237,1.08569,0.47046,0.39038,0.37843,0.21849,1.26415,1.58651,1.00461,0.005248,0.005248,0.005248
146,152211,1.37295,1.22697,1.08737,0.47317,0.38868,0.37874,0.21905,1.26379,1.58422,1.00454,0.005215,0.005215,0.005215
147,153229,1.37095,1.22306,1.0852,0.47579,0.38992,0.37919,0.21927,1.26417,1.57557,1.00464,0.005182,0.005182,0.005182
148,154279,1.36765,1.21635,1.08511,0.47881,0.38907,0.37892,0.2189,1.26495,1.56811,1.00504,0.005149,0.005149,0.005149
149,155376,1.36571,1.21282,1.08243,0.47742,0.39021,0.37845,0.21893,1.26553,1.57336,1.0051,0.005116,0.005116,0.005116
150,156437,1.36438,1.20993,1.0822,0.47937,0.38826,0.3794,0.21863,1.26592,1.56731,1.00536,0.005083,0.005083,0.005083
151,157499,1.36352,1.21143,1.08085,0.47953,0.38744,0.37975,0.21895,1.26639,1.56233,1.00519,0.00505,0.00505,0.00505
152,158582,1.36435,1.20983,1.08287,0.48233,0.38512,0.38037,0.2191,1.26721,1.55585,1.00553,0.005017,0.005017,0.005017
153,159620,1.36543,1.20746,1.0834,0.48253,0.38632,0.38061,0.2194,1.26759,1.54421,1.00562,0.004984,0.004984,0.004984
154,160689,1.36192,1.20222,1.08089,0.47644,0.38874,0.38043,0.21938,1.26733,1.54489,1.00552,0.004951,0.004951,0.004951
155,161752,1.36168,1.20111,1.08096,0.47649,0.38928,0.38116,0.21947,1.26741,1.53965,1.0054,0.004918,0.004918,0.004918
156,162775,1.36019,1.19936,1.07935,0.48527,0.38662,0.38141,0.21964,1.2673,1.52306,1.00533,0.004885,0.004885,0.004885
157,163826,1.36228,1.19844,1.08106,0.49002,0.38528,0.38182,0.22007,1.26741,1.51021,1.0055,0.004852,0.004852,0.004852
158,164862,1.36355,1.19463,1.08073,0.48746,0.38787,0.38202,0.22046,1.26776,1.5132,1.00555,0.004819,0.004819,0.004819
